platuma,ilguma
56.059386, 21.109993
56.310062, 21.604378
56.413521, 22.142708
56.310062, 23.065560
56.346609, 23.746712
56.249073, 24.504769
56.425675, 24.889290
56.174474, 25.110673
56.114553, 25.691292
55.646211, 26.592171
55.341251, 26.427376
55.291237, 26.811898
55.159651, 26.658089
55.140817, 26.262581
54.996130, 26.174690
54.939371, 25.845101
54.806621, 25.724251
54.578032, 25.735237
54.354555, 25.548470
54.303304, 25.702278
54.155599, 25.779183
54.136294, 25.652840
54.178110, 25.526497
54.248779, 25.592415
54.304906, 25.496285
54.268031, 25.235359
54.139512, 25.065071
54.181325, 24.960701
54.116980, 24.757454
54.029957, 24.839852
53.907170, 24.378426
53.958913, 23.537972
54.184539, 23.450081
54.309714, 23.065560
54.380157, 23.021614
54.408599, 22.843026
54.368617, 22.796335
54.452534, 22.716684
54.583263, 22.691964
54.826065, 22.888345
54.985551, 22.649392
55.073707, 22.593087
55.046966, 22.468118
55.044606, 22.084970
55.194605, 21.505441
55.296377, 21.379098
55.247089, 21.262368
55.671445, 21.149759
55.469570, 21.122293
55.278390, 20.990457
55.284647, 20.949258
55.478132, 21.074228
55.719432, 21.090707
55.686157, 21.138772
55.727166, 21.085214
55.914445, 21.050538
56.059386, 21.109993
