GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2022-08-01 00:00:00,3.0641,7
Akmenės Vartotojai,2022-08-01 01:00:00,2.3885,7
Akmenės Vartotojai,2022-08-01 02:00:00,0.7557,7
Akmenės Vartotojai,2022-08-01 03:00:00,1.4437,7
Akmenės Vartotojai,2022-08-01 04:00:00,0.9908,7
Akmenės Vartotojai,2022-08-01 05:00:00,0.8961,7
Akmenės Vartotojai,2022-08-01 06:00:00,1.7043,7
Akmenės Vartotojai,2022-08-01 07:00:00,2.1086,7
Akmenės Vartotojai,2022-08-01 08:00:00,1.2846,7
Akmenės Vartotojai,2022-08-01 09:00:00,3.108,7
Akmenės Vartotojai,2022-08-01 10:00:00,4.0228,7
Akmenės Vartotojai,2022-08-01 11:00:00,1.6981,7
Akmenės Vartotojai,2022-08-01 12:00:00,3.3603,7
Akmenės Vartotojai,2022-08-01 13:00:00,2.7499,7
Akmenės Vartotojai,2022-08-01 14:00:00,1.4135,7
Akmenės Vartotojai,2022-08-01 15:00:00,1.9925,7
Akmenės Vartotojai,2022-08-01 16:00:00,1.0033,7
Akmenės Vartotojai,2022-08-01 17:00:00,1.6199,7
Akmenės Vartotojai,2022-08-01 18:00:00,3.7401,7
Akmenės Vartotojai,2022-08-01 19:00:00,4.722,7
Akmenės Vartotojai,2022-08-01 20:00:00,3.2143,7
Akmenės Vartotojai,2022-08-01 21:00:00,2.2684,7
Akmenės Vartotojai,2022-08-01 22:00:00,2.5781,7
Akmenės Vartotojai,2022-08-01 23:00:00,2.7281,7
Akmenės Vartotojai,2022-08-02 00:00:00,2.0948,7
Akmenės Vartotojai,2022-08-02 01:00:00,1.127,7
Akmenės Vartotojai,2022-08-02 02:00:00,0.6966,7
Akmenės Vartotojai,2022-08-02 03:00:00,1.1991,7
Akmenės Vartotojai,2022-08-02 04:00:00,1.1034,7
Akmenės Vartotojai,2022-08-02 05:00:00,2.1038,7
Akmenės Vartotojai,2022-08-02 06:00:00,1.3765,7
Akmenės Vartotojai,2022-08-02 07:00:00,1.8526,7
Akmenės Vartotojai,2022-08-02 08:00:00,1.9184,7
Akmenės Vartotojai,2022-08-02 09:00:00,4.4396,7
Akmenės Vartotojai,2022-08-02 10:00:00,4.4878,7
Akmenės Vartotojai,2022-08-02 11:00:00,1.3987,7
Akmenės Vartotojai,2022-08-02 12:00:00,2.352,7
Akmenės Vartotojai,2022-08-02 13:00:00,1.3496,7
Akmenės Vartotojai,2022-08-02 14:00:00,1.8694,7
Akmenės Vartotojai,2022-08-02 15:00:00,1.4718,7
Akmenės Vartotojai,2022-08-02 16:00:00,2.7724,7
Akmenės Vartotojai,2022-08-02 17:00:00,2.6717,7
Akmenės Vartotojai,2022-08-02 18:00:00,1.2693,7
Akmenės Vartotojai,2022-08-02 19:00:00,3.3208,7
Akmenės Vartotojai,2022-08-02 20:00:00,2.8701,7
Akmenės Vartotojai,2022-08-02 21:00:00,4.0458,7
Akmenės Vartotojai,2022-08-02 22:00:00,2.9255,7
Akmenės Vartotojai,2022-08-02 23:00:00,2.5644,7
Akmenės Vartotojai,2022-08-03 00:00:00,3.1894,7
Akmenės Vartotojai,2022-08-03 01:00:00,0.9943,7
Akmenės Vartotojai,2022-08-03 02:00:00,0.7406,7
Akmenės Vartotojai,2022-08-03 03:00:00,1.2142,7
Akmenės Vartotojai,2022-08-03 04:00:00,0.6693,7
Akmenės Vartotojai,2022-08-03 05:00:00,1.4873,7
Akmenės Vartotojai,2022-08-03 06:00:00,1.5779,7
Akmenės Vartotojai,2022-08-03 07:00:00,2.1256,7
Akmenės Vartotojai,2022-08-03 08:00:00,1.3091,7
Akmenės Vartotojai,2022-08-03 09:00:00,1.9248,7
