GR_NAME;PL_T;P+;OBJ_COUNT
Akmenės Vartotojai;2022-02-01 00:00:00;4,2168;7
Akmenės Vartotojai;2022-02-01 01:00:00;5,5296;7
Akmenės Vartotojai;2022-02-01 02:00:00;4,3081;7
Akmenės Vartotojai;2022-02-01 03:00:00;4,4151;7
Akmenės Vartotojai;2022-02-01 04:00:00;4,7769;7
Akmenės Vartotojai;2022-02-01 05:00:00;3,813;7
Akmenės Vartotojai;2022-02-01 06:00:00;4,635;7
Akmenės Vartotojai;2022-02-01 07:00:00;5,0723;7
Akmenės Vartotojai;2022-02-01 08:00:00;5,4027;7
Akmenės Vartotojai;2022-02-01 09:00:00;6,2225;7
Akmenės Vartotojai;2022-02-01 10:00:00;5,8473;7
Akmenės Vartotojai;2022-02-01 11:00:00;6,2565;7
Akmenės Vartotojai;2022-02-01 12:00:00;5,9176;7
Akmenės Vartotojai;2022-02-01 13:00:00;5,4944;7
Akmenės Vartotojai;2022-02-01 14:00:00;5,9477;7
Akmenės Vartotojai;2022-02-01 15:00:00;5,9826;7
Akmenės Vartotojai;2022-02-01 16:00:00;6,6023;7
Akmenės Vartotojai;2022-02-01 17:00:00;6,7242;7
Akmenės Vartotojai;2022-02-01 18:00:00;7,4638;7
Akmenės Vartotojai;2022-02-01 19:00:00;7,9465;7
Akmenės Vartotojai;2022-02-01 20:00:00;7,4797;7
Akmenės Vartotojai;2022-02-01 21:00:00;6,3545;7
Akmenės Vartotojai;2022-02-01 22:00:00;6,0774;7
Akmenės Vartotojai;2022-02-01 23:00:00;6,0954;7
Akmenės Vartotojai;2022-02-02 00:00:00;6,0969;7
Akmenės Vartotojai;2022-02-02 01:00:00;6,6809;7
Akmenės Vartotojai;2022-02-02 02:00:00;6,0611;7
Akmenės Vartotojai;2022-02-02 03:00:00;5,0442;7
Akmenės Vartotojai;2022-02-02 04:00:00;5,2821;7
Akmenės Vartotojai;2022-02-02 05:00:00;5,2507;7
Akmenės Vartotojai;2022-02-02 06:00:00;5,9079;7
Akmenės Vartotojai;2022-02-02 07:00:00;5,9754;7
Akmenės Vartotojai;2022-02-02 08:00:00;6,1933;7
Akmenės Vartotojai;2022-02-02 09:00:00;6,1678;7
Akmenės Vartotojai;2022-02-02 10:00:00;5,3344;7
Akmenės Vartotojai;2022-02-02 11:00:00;6,0766;7
Akmenės Vartotojai;2022-02-02 12:00:00;4,2736;7
Akmenės Vartotojai;2022-02-02 13:00:00;6,8836;7
Akmenės Vartotojai;2022-02-02 14:00:00;4,939;7
Akmenės Vartotojai;2022-02-02 15:00:00;5,4928;7
Akmenės Vartotojai;2022-02-02 16:00:00;5,5492;7
Akmenės Vartotojai;2022-02-02 17:00:00;4,814;7
Akmenės Vartotojai;2022-02-02 18:00:00;7,7452;7
Akmenės Vartotojai;2022-02-02 19:00:00;8,9941;7
Akmenės Vartotojai;2022-02-02 20:00:00;7,3418;7
Akmenės Vartotojai;2022-02-02 21:00:00;6,2244;7
Akmenės Vartotojai;2022-02-02 22:00:00;4,5025;7
Akmenės Vartotojai;2022-02-02 23:00:00;5,1919;7
Akmenės Vartotojai;2022-02-03 00:00:00;4,5991;7
Akmenės Vartotojai;2022-02-03 01:00:00;4,1116;7
Akmenės Vartotojai;2022-02-03 02:00:00;5,3067;7
Akmenės Vartotojai;2022-02-03 03:00:00;5,6446;7
Akmenės Vartotojai;2022-02-03 04:00:00;6,0689;7
Akmenės Vartotojai;2022-02-03 05:00:00;5,8759;7
Akmenės Vartotojai;2022-02-03 06:00:00;5,5353;7
Akmenės Vartotojai;2022-02-03 07:00:00;6,1561;7
