GR_NAME,PL_T,P+,OBJ_COUNT
Akmenės Vartotojai,2022-05-01 00:00:00,1694.5946,244
Akmenės Vartotojai,2022-05-01 01:00:00,1696.5219,244
Akmenės Vartotojai,2022-05-01 02:00:00,1736.0885,244
Akmenės Vartotojai,2022-05-01 03:00:00,1766.9154,244
Akmenės Vartotojai,2022-05-01 04:00:00,1770.226,244
Akmenės Vartotojai,2022-05-01 05:00:00,1755.2806,244
Akmenės Vartotojai,2022-05-01 06:00:00,1803.2084,244
Akmenės Vartotojai,2022-05-01 07:00:00,2097.8773,244
Akmenės Vartotojai,2022-05-01 08:00:00,2078.1601,244
Akmenės Vartotojai,2022-05-01 09:00:00,2027.8544,244
Akmenės Vartotojai,2022-05-01 10:00:00,2018.227,244
Akmenės Vartotojai,2022-05-01 11:00:00,1954.2638,244
Akmenės Vartotojai,2022-05-01 12:00:00,1926.2998,244
Akmenės Vartotojai,2022-05-01 13:00:00,1838.6717,244
Akmenės Vartotojai,2022-05-01 14:00:00,1786.4508,244
Akmenės Vartotojai,2022-05-01 15:00:00,1807.5279,244
Akmenės Vartotojai,2022-05-01 16:00:00,1773.2421,244
Akmenės Vartotojai,2022-05-01 17:00:00,1767.3971,244
Akmenės Vartotojai,2022-05-01 18:00:00,1745.5926,244
Akmenės Vartotojai,2022-05-01 19:00:00,1706.24,244
Akmenės Vartotojai,2022-05-01 20:00:00,1728.6345,244
Akmenės Vartotojai,2022-05-01 21:00:00,1768.8905,244
Akmenės Vartotojai,2022-05-01 22:00:00,1722.9597,244
Akmenės Vartotojai,2022-05-01 23:00:00,1692.2635,244
Akmenės Vartotojai,2022-05-02 00:00:00,1481.7129,244
Akmenės Vartotojai,2022-05-02 01:00:00,1309.4415,244
Akmenės Vartotojai,2022-05-02 02:00:00,1313.7649,244
Akmenės Vartotojai,2022-05-02 03:00:00,1464.2664,244
Akmenės Vartotojai,2022-05-02 04:00:00,1562.0869,244
Akmenės Vartotojai,2022-05-02 05:00:00,1907.6981,244
Akmenės Vartotojai,2022-05-02 06:00:00,2104.119,244
Akmenės Vartotojai,2022-05-02 07:00:00,2692.0502,244
Akmenės Vartotojai,2022-05-02 08:00:00,2705.8388,243
Akmenės Vartotojai,2022-05-02 09:00:00,2594.6206,243
Akmenės Vartotojai,2022-05-02 10:00:00,2584.8963,243
Akmenės Vartotojai,2022-05-02 11:00:00,2310.7538,243
Akmenės Vartotojai,2022-05-02 12:00:00,2360.8151,243
Akmenės Vartotojai,2022-05-02 13:00:00,2356.8956,244
Akmenės Vartotojai,2022-05-02 14:00:00,2308.8092,244
Akmenės Vartotojai,2022-05-02 15:00:00,2396.7195,244
Akmenės Vartotojai,2022-05-02 16:00:00,2077.4832,244
Akmenės Vartotojai,2022-05-02 17:00:00,1939.6832,244
Akmenės Vartotojai,2022-05-02 18:00:00,1869.1303,244
Akmenės Vartotojai,2022-05-02 19:00:00,1951.254,244
Akmenės Vartotojai,2022-05-02 20:00:00,1958.7614,244
Akmenės Vartotojai,2022-05-02 21:00:00,1802.3259,244
Akmenės Vartotojai,2022-05-02 22:00:00,1602.9355,244
Akmenės Vartotojai,2022-05-02 23:00:00,1398.2133,244
Akmenės Vartotojai,2022-05-03 00:00:00,1429.01,244
Akmenės Vartotojai,2022-05-03 01:00:00,1522.156,244
Akmenės Vartotojai,2022-05-03 02:00:00,1368.4022,244
Akmenės Vartotojai,2022-05-03 03:00:00,1479.3872,244
Akmenės Vartotojai,2022-05-03 04:00:00,1595.1596,244
Akmenės Vartotojai,2022-05-03 05:00:00,1996.5679,244
Akmenės Vartotojai,2022-05-03 06:00:00,2309.6517,244
Akmenės Vartotojai,2022-05-03 07:00:00,2981.907,244
Akmenės Vartotojai,2022-05-03 08:00:00,3119.814,244
Akmenės Vartotojai,2022-05-03 09:00:00,2825.8533,244
Akmenės Vartotojai,2022-05-03 10:00:00,2719.6577,244
Akmenės Vartotojai,2022-05-03 11:00:00,2491.7906,244
Akmenės Vartotojai,2022-05-03 12:00:00,2686.9928,244
Akmenės Vartotojai,2022-05-03 13:00:00,2431.69,244
Akmenės Vartotojai,2022-05-03 14:00:00,2565.0512,244
Akmenės Vartotojai,2022-05-03 15:00:00,2338.8835,244
Akmenės Vartotojai,2022-05-03 16:00:00,1965.6133,244
Akmenės Vartotojai,2022-05-03 17:00:00,1770.462,244
Akmenės Vartotojai,2022-05-03 18:00:00,1752.3732,244
Akmenės Vartotojai,2022-05-03 19:00:00,1921.0414,244
Akmenės Vartotojai,2022-05-03 20:00:00,1947.2401,244
Akmenės Vartotojai,2022-05-03 21:00:00,1788.804,244
Akmenės Vartotojai,2022-05-03 22:00:00,1564.8931,244
Akmenės Vartotojai,2022-05-03 23:00:00,1508.1586,244
Akmenės Vartotojai,2022-05-04 00:00:00,1528.2983,244
Akmenės Vartotojai,2022-05-04 01:00:00,1422.2775,244
Akmenės Vartotojai,2022-05-04 02:00:00,1444.9642,244
Akmenės Vartotojai,2022-05-04 03:00:00,1465.3817,244
Akmenės Vartotojai,2022-05-04 04:00:00,1686.1409,244
Akmenės Vartotojai,2022-05-04 05:00:00,2061.2641,244
Akmenės Vartotojai,2022-05-04 06:00:00,2185.3005,244
Akmenės Vartotojai,2022-05-04 07:00:00,2755.5094,244
