GR_NAME;PL_T;P+;OBJ_COUNT
Akmenės Vartotojai;2022-02-01 00:00:00;2358,8952;243
Akmenės Vartotojai;2022-02-01 01:00:00;2405,6574;243
Akmenės Vartotojai;2022-02-01 02:00:00;2411,5338;243
Akmenės Vartotojai;2022-02-01 03:00:00;2355,0119;243
Akmenės Vartotojai;2022-02-01 04:00:00;2234,4721;243
Akmenės Vartotojai;2022-02-01 05:00:00;2315,9852;243
Akmenės Vartotojai;2022-02-01 06:00:00;2921,9118;243
Akmenės Vartotojai;2022-02-01 07:00:00;2786,7609;243
Akmenės Vartotojai;2022-02-01 08:00:00;3397,4145;243
Akmenės Vartotojai;2022-02-01 09:00:00;3762,5553;243
Akmenės Vartotojai;2022-02-01 10:00:00;4084,0347;243
Akmenės Vartotojai;2022-02-01 11:00:00;4169,7378;243
Akmenės Vartotojai;2022-02-01 12:00:00;3810,6668;243
Akmenės Vartotojai;2022-02-01 13:00:00;3970,9899;243
Akmenės Vartotojai;2022-02-01 14:00:00;3803,7332;243
Akmenės Vartotojai;2022-02-01 15:00:00;3759,0466;243
Akmenės Vartotojai;2022-02-01 16:00:00;3542,0207;243
Akmenės Vartotojai;2022-02-01 17:00:00;3092,6333;243
Akmenės Vartotojai;2022-02-01 18:00:00;2961,1344;243
Akmenės Vartotojai;2022-02-01 19:00:00;2839,6936;243
Akmenės Vartotojai;2022-02-01 20:00:00;2831,3615;243
Akmenės Vartotojai;2022-02-01 21:00:00;2966,1153;243
Akmenės Vartotojai;2022-02-01 22:00:00;3201,0919;243
Akmenės Vartotojai;2022-02-01 23:00:00;2743,4627;243
Akmenės Vartotojai;2022-02-02 00:00:00;2866,4237;243
Akmenės Vartotojai;2022-02-02 01:00:00;2749,5419;243
Akmenės Vartotojai;2022-02-02 02:00:00;2586,9944;243
Akmenės Vartotojai;2022-02-02 03:00:00;2737,7661;243
Akmenės Vartotojai;2022-02-02 04:00:00;2795,87;243
Akmenės Vartotojai;2022-02-02 05:00:00;2927,9965;243
Akmenės Vartotojai;2022-02-02 06:00:00;3008,7072;243
Akmenės Vartotojai;2022-02-02 07:00:00;3128,886;243
Akmenės Vartotojai;2022-02-02 08:00:00;3754,2175;243
Akmenės Vartotojai;2022-02-02 09:00:00;3957,5158;243
Akmenės Vartotojai;2022-02-02 10:00:00;3956,9316;243
Akmenės Vartotojai;2022-02-02 11:00:00;3943,6552;243
Akmenės Vartotojai;2022-02-02 12:00:00;3755,9621;243
Akmenės Vartotojai;2022-02-02 13:00:00;3719,1574;243
Akmenės Vartotojai;2022-02-02 14:00:00;3530,7721;243
Akmenės Vartotojai;2022-02-02 15:00:00;3331,0267;243
Akmenės Vartotojai;2022-02-02 16:00:00;3224,7005;243
Akmenės Vartotojai;2022-02-02 17:00:00;3256,7184;243
Akmenės Vartotojai;2022-02-02 18:00:00;2921,7118;243
Akmenės Vartotojai;2022-02-02 19:00:00;2894,2389;243
Akmenės Vartotojai;2022-02-02 20:00:00;2998,1877;243
