obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,duksto-ams,2.2,0.1,2.0,3.8,272,100,1003.5,99,0.0,mist
2022-01-01 01:00:00,duksto-ams,2.3,-0.3,2.5,4.6,271,100,1003.7,99,0.0,mist
2022-01-01 02:00:00,duksto-ams,2.1,-0.3,2.3,5.5,275,100,1004.1,99,0.0,fog
2022-01-01 03:00:00,duksto-ams,1.9,-0.2,2.0,4.7,269,88,1004.6,99,0.0,light-rain
2022-01-01 04:00:00,duksto-ams,1.9,-0.5,2.2,3.6,247,100,1004.7,99,0.1,rain
2022-01-01 05:00:00,duksto-ams,2.1,-0.4,2.4,4.4,243,100,1004.5,99,0.0,rain
2022-01-01 06:00:00,duksto-ams,2.1,-1.0,3.0,5.4,249,100,1004.7,99,0.1,rain
2022-01-01 07:00:00,duksto-ams,2.3,-0.6,2.8,5.9,258,100,1005.0,99,0.0,rain
2022-01-01 08:00:00,duksto-ams,2.7,-0.8,3.8,7.7,265,100,1005.1,99,0.0,light-rain
2022-01-01 09:00:00,duksto-ams,2.9,-0.7,4.0,10.3,284,100,1005.6,99,0.0,light-rain
2022-01-01 10:00:00,duksto-ams,2.6,-1.2,4.1,9.2,285,100,1006.2,97,0.4,light-rain
2022-01-01 11:00:00,duksto-ams,2.4,-1.8,4.8,10.4,308,100,1006.9,96,0.0,light-rain
2022-01-01 12:00:00,duksto-ams,2.0,-2.7,5.6,11.2,319,100,1008.4,95,0.0,light-rain
2022-01-01 13:00:00,duksto-ams,0.8,-3.9,4.9,11.4,338,88,1011.0,93,0.0,snow-showers
2022-01-01 14:00:00,duksto-ams,0.3,-5.1,6.0,11.0,328,88,1012.7,88,0.0,snow
2022-01-01 15:00:00,duksto-ams,-0.3,-5.2,4.9,11.8,336,63,1014.6,83,0.0,cloudy-with-sunny-intervals
2022-01-01 16:00:00,duksto-ams,-1.0,-5.7,4.3,9.7,324,25,1016.0,83,0.0,snow-showers
2022-01-01 17:00:00,duksto-ams,-1.4,-6.6,4.9,9.5,328,75,1017.5,81,0.0,cloudy-with-sunny-intervals
2022-01-01 18:00:00,duksto-ams,-2.5,-7.5,4.2,9.6,343,13,1019.0,81,0.0,partly-cloudy
2022-01-01 19:00:00,duksto-ams,-3.7,-7.7,2.8,8.1,335,0,1020.2,86,0.0,clear
2022-01-01 20:00:00,duksto-ams,-4.2,-8.9,3.4,6.8,332,0,1021.2,83,0.0,clear
2022-01-01 21:00:00,duksto-ams,-5.1,-9.2,2.6,6.1,317,0,1022.2,87,0.0,clear
2022-01-01 22:00:00,duksto-ams,-5.7,-9.5,2.3,6.7,317,25,1023.1,87,0.0,partly-cloudy
