obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,laukuvos-ams,3.9,0.7,3.7,6.4,262,0,1005.4,99,0.0,light-rain-at-times
2022-01-01 01:00:00,laukuvos-ams,4.0,0.9,3.6,7.1,274,0,1006.0,99,0.0,fog
2022-01-01 02:00:00,laukuvos-ams,4.3,0.5,4.9,8.3,270,0,1006.2,99,0.0,fog
2022-01-01 03:00:00,laukuvos-ams,4.1,0.5,4.4,8.0,271,,1006.5,99,0.0,
2022-01-01 04:00:00,laukuvos-ams,4.0,0.2,4.8,9.1,276,,1006.7,99,0.0,
2022-01-01 05:00:00,laukuvos-ams,3.9,0.3,4.4,7.7,275,,1006.9,99,0.0,
2022-01-01 06:00:00,laukuvos-ams,4.0,0.0,5.2,9.2,284,,1007.6,99,0.1,
2022-01-01 07:00:00,laukuvos-ams,3.7,0.1,4.2,10.2,293,,1008.4,99,0.2,
2022-01-01 08:00:00,laukuvos-ams,3.6,-0.2,4.6,9.3,299,,1009.4,99,0.1,
2022-01-01 09:00:00,laukuvos-ams,3.2,-1.2,5.5,10.3,312,88,1010.9,94,0.0,rain
2022-01-01 10:00:00,laukuvos-ams,2.7,-2.6,7.5,13.2,327,100,1012.3,92,0.0,cloudy
2022-01-01 11:00:00,laukuvos-ams,2.1,-3.1,6.7,12.5,343,100,1013.5,88,0.0,cloudy
2022-01-01 12:00:00,laukuvos-ams,1.6,-3.7,6.7,11.4,332,100,1015.4,88,0.0,cloudy
2022-01-01 13:00:00,laukuvos-ams,1.2,-3.5,5.1,11.2,335,88,1016.8,90,0.0,cloudy
2022-01-01 14:00:00,laukuvos-ams,0.9,-3.0,3.7,10.9,324,88,1018.1,91,0.0,cloudy
2022-01-01 15:00:00,laukuvos-ams,0.5,-3.2,3.4,6.4,312,88,1019.5,94,0.0,heavy-rain
2022-01-01 16:00:00,laukuvos-ams,0.0,-4.3,4.0,6.2,329,88,1020.4,94,0.0,snow-showers
2022-01-01 17:00:00,laukuvos-ams,0.0,-4.1,3.8,7.8,357,100,1021.1,89,0.0,sleet
2022-01-01 18:00:00,laukuvos-ams,-0.5,-4.5,3.5,7.7,353,75,1022.0,81,0.0,cloudy-with-sunny-intervals
2022-01-01 19:00:00,laukuvos-ams,-1.6,-4.2,1.9,4.4,356,13,1023.0,86,0.0,partly-cloudy
2022-01-01 20:00:00,laukuvos-ams,-2.4,-2.4,1.1,3.2,36,13,1023.6,91,0.0,partly-cloudy
2022-01-01 21:00:00,laukuvos-ams,-3.4,-6.0,1.7,2.3,71,0,1024.1,95,0.0,clear
2022-01-01 22:00:00,laukuvos-ams,-3.3,-6.9,2.5,3.6,90,63,1023.8,91,0.0,cloudy-with-sunny-intervals
2022-01-01 23:00:00,laukuvos-ams,-4.3,-8.1,2.5,3.8,142,88,1023.8,92,0.0,cloudy
2022-01-02 00:00:00,laukuvos-ams,-3.1,-7.3,3.1,4.4,155,88,1023.4,93,0.0,cloudy
2022-01-02 01:00:00,laukuvos-ams,-2.8,-7.5,3.7,5.5,146,88,1022.7,93,0.0,cloudy
2022-01-02 02:00:00,laukuvos-ams,-2.6,-7.4,3.9,6.2,145,88,1021.4,92,0.0,cloudy
2022-01-02 03:00:00,laukuvos-ams,-2.7,-8.2,4.8,8.2,143,88,1020.4,88,0.0,cloudy
2022-01-02 04:00:00,laukuvos-ams,-2.5,-8.4,5.6,8.3,156,100,1019.1,94,0.0,cloudy
2022-01-02 05:00:00,laukuvos-ams,-2.0,-7.9,5.9,9.1,156,100,1017.6,94,0.0,light-snow
2022-01-02 06:00:00,laukuvos-ams,-1.7,-8.2,7.3,11.7,152,100,1015.4,94,0.0,light-snow
2022-01-02 07:00:00,laukuvos-ams,-0.9,-7.2,7.3,13.3,166,100,1013.5,96,0.5,light-snow
2022-01-02 08:00:00,laukuvos-ams,-0.2,-6.0,6.6,12.9,176,100,1012.3,96,1.3,freezing-rain
2022-01-02 09:00:00,laukuvos-ams,0.1,-5.4,6.2,12.1,180,100,1011.0,96,0.2,light-rain
2022-01-02 10:00:00,laukuvos-ams,0.2,-5.2,6.0,10.3,178,100,1009.3,98,0.1,light-rain
2022-01-02 11:00:00,laukuvos-ams,0.5,-5.0,6.3,10.9,183,,1007.7,98,0.0,light-rain
2022-01-02 12:00:00,laukuvos-ams,1.1,-4.0,5.8,8.7,190,100,1006.4,99,0.1,light-rain
2022-01-02 13:00:00,laukuvos-ams,1.7,-3.0,5.3,10.2,184,,1005.4,99,0.0,light-rain
2022-01-02 14:00:00,laukuvos-ams,2.0,-2.1,4.4,7.5,185,100,1004.1,99,0.0,light-rain
2022-01-02 15:00:00,laukuvos-ams,2.7,-1.4,4.8,8.1,187,100,1002.9,99,0.1,light-rain
2022-01-02 16:00:00,laukuvos-ams,3.4,-0.3,4.4,7.0,202,,1002.2,99,0.0,light-rain
2022-01-02 17:00:00,laukuvos-ams,3.8,0.1,4.4,6.4,206,,1001.2,99,0.1,light-rain
2022-01-02 18:00:00,laukuvos-ams,4.0,1.5,2.7,5.7,213,,1000.0,99,0.6,light-rain
2022-01-02 19:00:00,laukuvos-ams,4.5,1.8,3.1,6.4,230,100,999.0,99,0.4,light-rain
2022-01-02 20:00:00,laukuvos-ams,4.5,2.0,2.9,5.2,232,100,997.9,99,2.3,light-rain
2022-01-02 21:00:00,laukuvos-ams,4.5,2.8,2.0,4.1,216,,996.8,99,0.4,light-rain
2022-01-02 22:00:00,laukuvos-ams,4.3,2.0,2.6,3.7,201,,995.7,99,0.7,light-rain
2022-01-02 23:00:00,laukuvos-ams,4.5,2.7,2.1,3.6,207,100,994.7,99,1.4,light-rain
2022-01-03 00:00:00,laukuvos-ams,3.9,3.9,1.3,2.2,306,100,994.1,99,2.8,light-rain
2022-01-03 01:00:00,laukuvos-ams,3.8,1.3,2.7,3.4,275,,994.1,99,1.5,light-rain
2022-01-03 02:00:00,laukuvos-ams,4.0,1.0,3.4,5.4,289,,994.4,99,1.0,light-rain
2022-01-03 03:00:00,laukuvos-ams,3.6,0.9,2.9,5.7,296,,994.7,99,0.6,light-rain
2022-01-03 04:00:00,laukuvos-ams,3.7,0.5,3.6,4.9,279,,995.1,99,0.1,fog
2022-01-03 05:00:00,laukuvos-ams,3.9,0.8,3.6,5.3,274,,995.2,99,0.0,light-rain
2022-01-03 06:00:00,laukuvos-ams,3.9,0.9,3.4,5.7,279,,995.5,99,0.0,fog
2022-01-03 07:00:00,laukuvos-ams,3.9,0.6,3.8,6.3,274,,996.4,99,0.0,fog
2022-01-03 08:00:00,laukuvos-ams,4.1,1.0,3.6,5.8,267,,996.9,99,0.0,fog
2022-01-03 09:00:00,laukuvos-ams,4.2,0.9,3.9,6.8,261,,997.3,99,0.0,fog
2022-01-03 10:00:00,laukuvos-ams,4.4,1.7,3.1,6.5,256,,997.1,99,0.1,fog
2022-01-03 11:00:00,laukuvos-ams,4.6,1.2,4.2,6.4,264,,997.1,99,0.3,fog
2022-01-03 12:00:00,laukuvos-ams,4.8,1.5,4.2,7.5,271,100,997.2,99,0.1,fog
2022-01-03 13:00:00,laukuvos-ams,4.6,1.7,3.4,7.6,267,100,997.3,99,0.1,light-rain
2022-01-03 14:00:00,laukuvos-ams,4.4,1.1,4.0,7.8,262,,997.6,99,0.0,fog
2022-01-03 15:00:00,laukuvos-ams,4.3,0.9,4.1,7.6,266,100,997.6,99,0.0,fog
2022-01-03 16:00:00,laukuvos-ams,4.3,1.4,3.4,7.0,252,100,997.8,99,0.1,light-rain
2022-01-03 17:00:00,laukuvos-ams,4.0,0.9,3.6,5.9,231,100,997.6,99,0.4,light-rain
2022-01-03 18:00:00,laukuvos-ams,3.9,1.0,3.3,6.8,236,100,997.4,99,0.8,light-rain
2022-01-03 19:00:00,laukuvos-ams,4.0,1.4,2.9,5.7,249,100,997.3,99,0.2,light-rain
2022-01-03 20:00:00,laukuvos-ams,4.2,1.1,3.7,7.0,246,,997.2,99,0.1,light-rain
2022-01-03 21:00:00,laukuvos-ams,4.2,0.9,4.0,7.2,241,100,997.1,99,0.5,light-rain
2022-01-03 22:00:00,laukuvos-ams,4.3,1.1,3.8,6.9,248,100,996.9,99,0.3,light-rain
2022-01-03 23:00:00,laukuvos-ams,4.4,0.6,4.9,8.2,254,100,996.8,99,1.0,light-rain
2022-01-04 00:00:00,laukuvos-ams,4.3,0.3,5.3,10.1,255,100,996.7,99,0.6,light-rain
2022-01-04 01:00:00,laukuvos-ams,4.4,0.5,5.2,9.7,253,100,996.4,99,0.2,light-rain
2022-01-04 02:00:00,laukuvos-ams,4.3,0.5,4.9,9.9,246,100,996.1,98,0.6,light-rain
2022-01-04 03:00:00,laukuvos-ams,4.2,0.4,4.8,9.9,239,100,995.9,97,0.3,light-rain
2022-01-04 04:00:00,laukuvos-ams,4.1,-0.2,5.9,10.0,246,100,995.7,96,0.3,light-rain
2022-01-04 05:00:00,laukuvos-ams,4.2,0.4,4.8,10.6,235,100,995.5,95,0.0,light-rain
2022-01-04 06:00:00,laukuvos-ams,4.0,-0.1,5.3,9.5,228,100,995.4,96,0.0,rain
2022-01-04 07:00:00,laukuvos-ams,3.8,-0.2,5.1,10.0,225,100,995.4,96,0.4,light-rain
2022-01-04 08:00:00,laukuvos-ams,3.9,-0.6,6.2,9.0,219,100,995.1,96,0.2,light-rain
2022-01-04 09:00:00,laukuvos-ams,3.9,-0.3,5.6,11.6,224,100,994.9,96,0.0,light-rain
2022-01-04 10:00:00,laukuvos-ams,4.1,0.0,5.5,10.9,222,100,994.5,95,0.0,light-rain
2022-01-04 11:00:00,laukuvos-ams,4.2,0.0,5.8,10.4,215,100,994.4,95,0.0,light-rain
2022-01-04 12:00:00,laukuvos-ams,4.4,0.5,5.1,10.3,220,100,993.8,93,0.1,rain
2022-01-04 13:00:00,laukuvos-ams,4.4,0.7,4.8,9.1,220,100,993.3,94,0.0,heavy-rain
2022-01-04 14:00:00,laukuvos-ams,4.1,0.3,4.9,8.4,208,100,992.8,94,0.0,mist
2022-01-04 15:00:00,laukuvos-ams,4.0,0.3,4.6,8.2,197,100,992.5,95,0.0,mist
2022-01-04 16:00:00,laukuvos-ams,3.7,-0.4,5.3,8.7,187,100,992.2,95,0.0,mist
2022-01-04 17:00:00,laukuvos-ams,3.7,0.0,4.5,8.0,183,100,991.6,95,0.0,mist
2022-01-04 18:00:00,laukuvos-ams,3.7,-0.6,5.7,8.6,185,100,990.8,95,0.0,mist
2022-01-04 19:00:00,laukuvos-ams,3.7,-0.1,4.6,8.6,193,100,990.4,94,0.0,mist
2022-01-04 20:00:00,laukuvos-ams,3.5,0.0,4.0,8.2,194,100,990.0,95,0.0,mist
2022-01-04 21:00:00,laukuvos-ams,3.4,-0.1,3.9,6.9,188,100,989.7,96,0.0,mist
2022-01-04 22:00:00,laukuvos-ams,3.4,0.0,3.8,6.6,192,100,989.0,97,0.0,mist
2022-01-04 23:00:00,laukuvos-ams,3.4,0.1,3.6,6.0,200,100,988.6,98,0.0,mist
2022-01-05 00:00:00,laukuvos-ams,3.5,-0.1,4.1,5.7,202,100,988.1,98,0.8,light-rain
2022-01-05 01:00:00,laukuvos-ams,3.7,-0.1,4.7,9.2,218,100,987.8,97,0.9,light-rain
2022-01-05 02:00:00,laukuvos-ams,3.7,0.1,4.3,11.0,237,100,987.7,96,0.7,light-rain
