obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,lazdiju-ams,5.5,5.5,3.1,7.2,279,100,1006.5,97,0.0,mist
2022-01-01 01:00:00,lazdiju-ams,5.7,5.7,4.1,7.4,265,100,1007.1,98,0.0,light-rain
2022-01-01 02:00:00,lazdiju-ams,5.1,5.1,3.6,6.6,258,100,1007.5,98,0.0,rain
2022-01-01 03:00:00,lazdiju-ams,4.9,1.8,3.8,6.7,264,100,1007.9,98,0.0,mist
2022-01-01 04:00:00,lazdiju-ams,4.7,2.5,2.6,6.0,262,100,1008.5,98,0.1,light-rain
2022-01-01 05:00:00,lazdiju-ams,4.5,1.5,3.6,6.2,267,100,1008.5,98,0.1,light-rain
2022-01-01 06:00:00,lazdiju-ams,4.6,1.4,4.0,7.3,261,100,1008.7,95,0.0,light-rain
2022-01-01 07:00:00,lazdiju-ams,4.3,1.0,4.0,7.1,266,88,1009.7,96,0.2,light-rain
2022-01-01 08:00:00,lazdiju-ams,4.7,1.3,4.3,9.4,281,88,1010.1,92,0.0,rain
2022-01-01 09:00:00,lazdiju-ams,4.9,1.0,5.5,9.4,285,100,1010.8,92,0.0,light-rain
2022-01-01 10:00:00,lazdiju-ams,4.9,0.7,6.2,12.4,306,100,1011.3,92,0.0,light-rain
2022-01-01 11:00:00,lazdiju-ams,4.9,0.4,6.8,13.0,313,100,1011.9,88,0.0,cloudy
2022-01-01 12:00:00,lazdiju-ams,4.4,-0.2,6.7,15.1,315,88,1012.9,89,0.0,light-rain
2022-01-01 13:00:00,lazdiju-ams,3.6,-0.3,4.7,12.1,334,100,1014.5,92,0.1,light-rain
2022-01-01 14:00:00,lazdiju-ams,2.9,-1.0,4.5,11.2,339,100,1016.3,89,0.0,cloudy
2022-01-01 15:00:00,lazdiju-ams,2.2,-1.8,4.3,9.7,334,100,1018.0,88,0.0,rain
2022-01-01 16:00:00,lazdiju-ams,1.5,-2.5,4.1,9.0,339,100,1019.4,89,0.0,light-rain
2022-01-01 17:00:00,lazdiju-ams,1.1,-2.9,3.9,7.5,348,100,1020.5,88,0.0,light-rain
2022-01-01 18:00:00,lazdiju-ams,0.9,-2.6,3.2,9.1,322,100,1021.3,84,0.0,rain
2022-01-01 19:00:00,lazdiju-ams,0.8,-3.0,3.6,7.9,327,88,1022.4,87,0.0,cloudy
2022-01-01 20:00:00,lazdiju-ams,0.6,-2.9,3.1,7.3,332,100,1023.2,83,0.0,cloudy
2022-01-01 21:00:00,lazdiju-ams,-0.3,-3.0,2.2,6.3,354,13,1023.7,86,0.0,partly-cloudy
2022-01-01 22:00:00,lazdiju-ams,-0.7,-0.7,1.1,3.2,294,88,1024.3,90,0.0,cloudy
2022-01-01 23:00:00,lazdiju-ams,-1.7,-3.9,1.6,2.7,22,50,1024.1,94,0.0,variable-cloudiness
2022-01-02 00:00:00,lazdiju-ams,-2.2,-2.2,1.1,1.7,87,13,1024.3,96,0.0,mist
2022-01-02 01:00:00,lazdiju-ams,-2.1,-2.1,0.9,1.3,121,100,1024.2,95,0.0,cloudy
2022-01-02 02:00:00,lazdiju-ams,-2.0,-2.0,1.3,2.3,152,88,1023.4,93,0.0,cloudy
2022-01-02 03:00:00,lazdiju-ams,-2.0,-4.2,1.6,2.9,141,88,1022.7,92,0.0,cloudy
2022-01-02 04:00:00,lazdiju-ams,-1.9,-5.6,2.8,4.6,145,88,1021.7,93,0.0,cloudy
2022-01-02 05:00:00,lazdiju-ams,-1.5,-5.2,2.9,5.7,163,88,1021.0,93,0.0,cloudy
2022-01-02 06:00:00,lazdiju-ams,-1.2,-6.1,4.5,7.5,173,100,1020.0,92,0.0,cloudy
2022-01-02 07:00:00,lazdiju-ams,-0.7,-5.7,4.9,8.8,178,100,1018.4,89,0.0,cloudy
2022-01-02 08:00:00,lazdiju-ams,-0.4,-5.2,4.6,10.0,173,100,1016.9,91,0.4,light-sleet
2022-01-02 09:00:00,lazdiju-ams,-0.3,-5.6,5.5,10.8,187,100,1015.3,94,0.7,light-rain
2022-01-02 10:00:00,lazdiju-ams,0.0,-5.1,5.3,10.0,197,100,1013.9,95,0.9,rain
2022-01-02 11:00:00,lazdiju-ams,0.3,-4.4,4.8,10.9,192,100,1012.5,96,2.1,light-snow
2022-01-02 12:00:00,lazdiju-ams,0.4,-4.1,4.4,9.9,191,88,1011.1,96,1.3,light-rain
2022-01-02 13:00:00,lazdiju-ams,0.5,-3.9,4.4,7.5,181,100,1009.4,96,1.5,light-rain
2022-01-02 14:00:00,lazdiju-ams,0.8,-3.2,3.8,9.2,195,100,1007.8,97,0.4,light-rain
2022-01-02 15:00:00,lazdiju-ams,1.5,-2.9,4.8,9.4,198,100,1006.5,97,1.1,light-rain
2022-01-02 16:00:00,lazdiju-ams,2.1,-1.9,4.3,7.3,198,100,1005.2,97,1.3,light-rain
2022-01-02 17:00:00,lazdiju-ams,2.6,-0.5,3.2,6.2,193,100,1004.0,97,0.7,light-rain
2022-01-02 18:00:00,lazdiju-ams,2.6,0.1,2.4,4.7,200,100,1003.0,98,0.7,light-rain
2022-01-02 19:00:00,lazdiju-ams,3.3,0.2,3.4,5.4,206,88,1001.6,98,0.3,light-rain
2022-01-02 20:00:00,lazdiju-ams,4.3,0.8,4.4,6.1,228,88,1000.5,98,0.2,light-rain
2022-01-02 21:00:00,lazdiju-ams,4.9,1.8,3.9,6.3,223,100,999.6,98,0.2,rain
2022-01-02 22:00:00,lazdiju-ams,5.2,5.2,3.5,5.9,207,88,997.9,98,1.5,rain
