obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,nidos-ams,4.7,1.7,3.7,7.2,241,88,1007.0,99,0.0,fog
2022-01-01 01:00:00,nidos-ams,4.7,1.7,3.7,9.7,256,,1007.5,99,0.0,fog
2022-01-01 02:00:00,nidos-ams,4.7,1.7,3.6,8.2,247,,1007.8,99,0.0,fog
2022-01-01 03:00:00,nidos-ams,5.0,2.4,3.2,8.9,251,88,1008.2,99,0.0,fog
2022-01-01 04:00:00,nidos-ams,5.1,5.1,3.6,8.0,242,100,1008.2,99,0.0,light-rain
2022-01-01 05:00:00,nidos-ams,4.9,1.8,3.8,9.5,245,100,1008.7,99,0.0,cloudy
2022-01-01 06:00:00,nidos-ams,5.2,5.2,4.0,8.9,259,88,1009.4,99,0.0,light-rain
2022-01-01 07:00:00,nidos-ams,5.5,5.5,4.2,9.0,281,100,1010.4,96,0.0,cloudy
2022-01-01 08:00:00,nidos-ams,5.4,5.4,3.9,9.4,282,100,1011.5,92,0.0,cloudy
2022-01-01 09:00:00,nidos-ams,5.4,5.4,3.1,8.4,300,88,1012.7,92,0.0,light-rain
2022-01-01 10:00:00,nidos-ams,4.5,1.0,4.4,10.8,323,88,1014.1,91,0.0,heavy-rain
2022-01-01 11:00:00,nidos-ams,4.4,0.5,5.1,10.6,328,100,1015.4,90,0.0,cloudy
2022-01-01 12:00:00,nidos-ams,4.2,0.4,4.9,10.3,331,88,1016.7,89,0.0,cloudy
2022-01-01 13:00:00,nidos-ams,3.7,-0.4,5.3,10.7,335,13,1017.8,85,0.0,partly-cloudy
2022-01-01 14:00:00,nidos-ams,3.2,-0.4,4.1,9.5,334,88,1019.2,87,0.0,cloudy
2022-01-01 15:00:00,nidos-ams,2.5,-1.3,4.1,10.7,331,88,1020.5,87,0.0,cloudy
2022-01-01 16:00:00,nidos-ams,2.2,-1.7,4.2,9.4,336,100,1021.4,83,0.0,heavy-rain
2022-01-01 17:00:00,nidos-ams,1.6,-2.1,3.7,9.6,350,88,1021.8,82,0.0,cloudy
2022-01-01 18:00:00,nidos-ams,1.1,-2.3,3.1,6.3,3,88,1022.7,84,0.0,cloudy
2022-01-01 19:00:00,nidos-ams,0.3,-2.6,2.4,5.7,354,88,1023.4,84,0.0,cloudy
2022-01-01 20:00:00,nidos-ams,-0.1,-2.8,2.2,5.3,37,88,1023.7,82,0.0,cloudy
2022-01-01 21:00:00,nidos-ams,-0.1,-3.0,2.4,4.4,78,100,1023.8,83,0.0,cloudy
2022-01-01 22:00:00,nidos-ams,-0.1,-3.7,3.1,5.0,154,100,1023.9,86,0.0,cloudy
2022-01-01 23:00:00,nidos-ams,-0.1,-4.3,3.8,6.0,135,100,1023.3,87,0.0,cloudy
2022-01-02 00:00:00,nidos-ams,0.0,-4.7,4.7,6.2,140,88,1022.8,89,0.0,cloudy
2022-01-02 01:00:00,nidos-ams,-0.2,-5.7,5.9,7.2,139,88,1021.6,92,0.0,cloudy
2022-01-02 02:00:00,nidos-ams,-0.1,-5.9,6.7,8.2,130,88,1020.2,91,0.0,cloudy
2022-01-02 03:00:00,nidos-ams,0.0,-5.5,6.2,7.4,136,88,1019.4,91,0.0,cloudy
2022-01-02 04:00:00,nidos-ams,0.2,-6.1,8.2,10.3,136,100,1017.5,93,0.2,light-snow
2022-01-02 05:00:00,nidos-ams,0.4,-6.3,9.3,11.2,130,100,1015.8,95,0.8,light-sleet
2022-01-02 06:00:00,nidos-ams,0.6,-6.1,9.7,12.5,142,100,1013.7,97,1.1,light-rain
2022-01-02 07:00:00,nidos-ams,0.7,-5.8,9.1,11.4,159,100,1012.3,98,1.8,light-rain
2022-01-02 08:00:00,nidos-ams,0.9,-5.0,7.6,10.8,168,100,1011.0,99,0.3,light-rain
2022-01-02 09:00:00,nidos-ams,1.9,-3.1,6.2,9.7,182,100,1009.8,99,0.0,light-rain
2022-01-02 10:00:00,nidos-ams,2.4,-2.6,6.4,9.5,181,100,1008.4,99,0.4,light-rain
2022-01-02 11:00:00,nidos-ams,3.1,-1.4,5.7,12.5,186,,1007.2,99,0.2,light-rain
2022-01-02 12:00:00,nidos-ams,3.2,-1.1,5.4,9.7,184,,1006.2,99,0.1,light-rain
2022-01-02 13:00:00,nidos-ams,1.8,-2.7,5.0,5.8,173,,1005.0,99,0.1,light-rain
2022-01-02 14:00:00,nidos-ams,6.5,6.5,5.3,10.6,205,88,1004.2,99,0.9,light-rain
2022-01-02 15:00:00,nidos-ams,6.8,6.8,4.3,9.6,210,100,1003.1,99,1.4,light-rain
