obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,raseiniu-ams,2.9,0.3,2.6,5.1,285,,1005.3,99,0.0,fog
2022-01-01 01:00:00,raseiniu-ams,3.0,0.6,2.4,4.5,277,,1006.0,99,0.1,light-rain
2022-01-01 02:00:00,raseiniu-ams,3.4,0.9,2.6,4.7,258,,1005.9,99,0.1,fog
2022-01-01 03:00:00,raseiniu-ams,3.5,0.2,3.7,6.3,254,,1006.4,99,0.0,fog
2022-01-01 04:00:00,raseiniu-ams,3.4,0.2,3.5,6.8,251,,1006.8,99,0.0,light-rain
2022-01-01 05:00:00,raseiniu-ams,3.6,0.5,3.5,6.2,247,,1006.7,99,0.1,heavy-rain
2022-01-01 06:00:00,raseiniu-ams,3.5,0.4,3.4,6.3,252,,1007.2,99,0.1,rain
2022-01-01 07:00:00,raseiniu-ams,3.5,0.7,3.0,6.1,256,100,1007.8,99,0.1,rain
2022-01-01 08:00:00,raseiniu-ams,3.6,0.7,3.1,5.9,276,100,1008.7,99,0.0,light-rain
2022-01-01 09:00:00,raseiniu-ams,3.6,-0.3,4.8,7.7,302,100,1009.6,99,0.0,light-rain
2022-01-01 10:00:00,raseiniu-ams,3.4,-1.4,6.5,11.4,319,100,1010.7,92,0.0,cloudy
2022-01-01 11:00:00,raseiniu-ams,2.9,-1.9,6.4,11.6,331,100,1012.2,91,0.0,rain
2022-01-01 12:00:00,raseiniu-ams,2.4,-2.6,6.4,11.0,346,100,1013.8,87,0.0,cloudy
2022-01-01 13:00:00,raseiniu-ams,1.6,-2.5,4.2,10.8,327,100,1015.7,92,0.0,light-rain
2022-01-01 14:00:00,raseiniu-ams,0.9,-3.2,4.0,9.4,328,88,1017.4,89,0.0,rain
2022-01-01 15:00:00,raseiniu-ams,0.8,-2.8,3.3,8.1,325,100,1018.7,91,0.0,snow-showers
2022-01-01 16:00:00,raseiniu-ams,0.5,-3.8,4.2,7.1,334,38,1019.8,90,0.0,rain-showers
2022-01-01 17:00:00,raseiniu-ams,0.0,-4.5,4.3,9.4,351,63,1020.4,92,0.0,snow-at-times
2022-01-01 18:00:00,raseiniu-ams,-0.7,-4.2,2.9,6.4,359,38,1021.3,92,0.0,variable-cloudiness
2022-01-01 19:00:00,raseiniu-ams,-1.1,-6.2,4.8,7.0,7,38,1022.7,87,0.0,variable-cloudiness
2022-01-01 20:00:00,raseiniu-ams,-2.1,-6.0,3.0,6.6,23,0,1023.7,89,0.0,clear
2022-01-01 21:00:00,raseiniu-ams,-2.7,-5.5,1.9,4.0,32,0,1024.1,89,0.0,clear
2022-01-01 22:00:00,raseiniu-ams,-3.6,-3.6,0.8,2.6,285,0,1024.3,93,0.0,clear
2022-01-01 23:00:00,raseiniu-ams,-3.4,-3.4,1.3,1.6,128,63,1023.7,94,0.0,cloudy-with-sunny-intervals
2022-01-02 00:00:00,raseiniu-ams,-4.1,-6.4,1.5,1.9,196,0,1023.7,96,0.0,clear
2022-01-02 01:00:00,raseiniu-ams,-3.8,-6.4,1.7,2.4,159,88,1023.4,92,0.0,cloudy
2022-01-02 02:00:00,raseiniu-ams,-2.9,-6.7,2.7,3.7,146,100,1022.2,92,0.0,cloudy
2022-01-02 03:00:00,raseiniu-ams,-2.7,-7.2,3.5,6.0,154,88,1021.6,89,0.0,cloudy
2022-01-02 04:00:00,raseiniu-ams,-2.6,-8.0,4.7,7.0,155,100,1020.5,88,0.0,cloudy
2022-01-02 05:00:00,raseiniu-ams,-2.4,-7.7,4.6,7.6,156,88,1019.2,91,0.0,cloudy
2022-01-02 06:00:00,raseiniu-ams,-2.1,-7.8,5.4,8.6,152,100,1017.3,92,0.0,light-snow
