obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,siauliu-ams,3.3,1.6,1.8,3.0,237,100,1004.3,98,0.2,rain
2022-01-01 01:00:00,siauliu-ams,3.6,1.4,2.3,4.7,241,100,1004.7,99,0.1,fog
2022-01-01 02:00:00,siauliu-ams,3.9,1.7,2.4,5.5,254,100,1004.9,99,0.1,rain
2022-01-01 03:00:00,siauliu-ams,4.0,1.8,2.4,5.6,261,100,1005.2,98,0.1,rain
2022-01-01 04:00:00,siauliu-ams,4.0,1.2,3.1,6.6,272,100,1005.4,98,0.0,rain
2022-01-01 05:00:00,siauliu-ams,4.0,1.5,2.7,6.1,275,100,1005.3,97,0.0,light-rain
2022-01-01 06:00:00,siauliu-ams,4.0,1.5,2.8,6.3,272,100,1005.9,96,0.0,rain
2022-01-01 07:00:00,siauliu-ams,4.0,1.0,3.4,6.5,293,100,1006.8,96,0.1,light-rain
2022-01-01 08:00:00,siauliu-ams,3.9,0.6,3.9,8.1,305,100,1008.0,93,0.0,light-rain
2022-01-01 09:00:00,siauliu-ams,3.4,-1.0,5.7,11.4,317,100,1009.5,92,0.0,rain
2022-01-01 10:00:00,siauliu-ams,2.7,-1.6,5.2,12.5,328,100,1011.2,92,0.0,light-rain
2022-01-01 11:00:00,siauliu-ams,2.3,-1.9,4.7,11.2,344,100,1012.6,88,0.0,rain
2022-01-01 12:00:00,siauliu-ams,1.5,-3.0,4.9,10.1,345,88,1014.2,88,0.0,light-rain
2022-01-01 13:00:00,siauliu-ams,1.2,-2.6,3.7,10.1,336,63,1015.5,86,0.0,rain-at-times
2022-01-01 14:00:00,siauliu-ams,1.1,-3.0,4.1,8.0,337,100,1017.2,86,0.0,cloudy
2022-01-01 15:00:00,siauliu-ams,0.6,-3.5,3.9,9.2,355,88,1018.7,87,0.0,snow-showers
2022-01-01 16:00:00,siauliu-ams,-0.3,-4.7,4.1,8.4,357,88,1020.2,85,0.0,sleet
2022-01-01 17:00:00,siauliu-ams,-1.5,-6.5,4.6,7.8,355,50,1021.2,81,0.0,variable-cloudiness
2022-01-01 18:00:00,siauliu-ams,-2.2,-6.2,3.1,7.8,356,50,1021.7,82,0.0,variable-cloudiness
2022-01-01 19:00:00,siauliu-ams,-2.7,-6.1,2.4,4.8,335,38,1023.0,82,0.0,variable-cloudiness
2022-01-01 20:00:00,siauliu-ams,-3.9,-3.9,1.4,3.3,295,0,1023.7,92,0.0,mist
2022-01-01 21:00:00,siauliu-ams,-4.9,-4.9,1.2,2.2,291,0,1023.9,95,0.0,mist
2022-01-01 22:00:00,siauliu-ams,-5.3,-5.3,0.8,2.0,280,0,1024.1,95,0.0,mist
2022-01-01 23:00:00,siauliu-ams,-5.2,-5.2,1.1,1.5,186,88,1023.4,95,0.0,mist
2022-01-02 00:00:00,siauliu-ams,-4.9,-4.9,1.2,1.8,195,50,1023.2,95,0.0,mist
2022-01-02 01:00:00,siauliu-ams,-4.6,-7.2,1.6,2.9,202,100,1023.4,94,0.0,cloudy
2022-01-02 02:00:00,siauliu-ams,-3.9,-7.1,2.1,4.1,162,100,1022.0,92,0.0,cloudy
2022-01-02 03:00:00,siauliu-ams,-3.4,-6.8,2.3,4.0,161,100,1021.2,89,0.0,cloudy
2022-01-02 04:00:00,siauliu-ams,-3.0,-7.2,3.1,5.9,167,100,1019.7,84,0.0,cloudy
2022-01-02 05:00:00,siauliu-ams,-2.7,-6.4,2.7,6.6,177,100,1018.8,81,0.0,cloudy
2022-01-02 06:00:00,siauliu-ams,-2.3,-6.9,3.7,8.3,172,100,1016.5,84,0.0,snow
2022-01-02 07:00:00,siauliu-ams,-2.1,-6.6,3.7,9.6,162,100,1014.6,89,0.1,light-snow
2022-01-02 08:00:00,siauliu-ams,-1.3,-6.7,5.2,9.9,161,100,1012.6,92,0.8,freezing-rain
2022-01-02 09:00:00,siauliu-ams,-0.6,-4.9,3.8,10.4,172,100,1011.7,94,1.7,freezing-rain
2022-01-02 10:00:00,siauliu-ams,-0.1,-4.1,3.6,9.6,180,100,1010.0,94,1.0,freezing-rain
2022-01-02 11:00:00,siauliu-ams,0.2,-3.4,3.2,8.8,184,100,1008.3,95,0.1,freezing-rain
2022-01-02 12:00:00,siauliu-ams,0.5,-3.0,3.1,7.3,195,100,1006.8,96,0.7,light-rain
2022-01-02 13:00:00,siauliu-ams,0.7,-2.8,3.2,7.5,199,100,1005.5,96,0.4,light-rain
2022-01-02 14:00:00,siauliu-ams,1.0,-2.6,3.4,7.2,198,100,1004.0,96,0.7,light-rain
2022-01-02 15:00:00,siauliu-ams,1.3,-2.5,3.7,7.9,205,100,1002.8,97,1.0,light-rain
2022-01-02 16:00:00,siauliu-ams,1.8,-2.1,4.0,7.6,214,100,1001.9,97,0.1,light-rain
2022-01-02 17:00:00,siauliu-ams,2.3,-1.1,3.4,7.5,214,100,1000.6,97,0.5,light-rain
2022-01-02 18:00:00,siauliu-ams,2.7,-0.3,3.0,6.3,219,100,999.6,97,0.2,rain
2022-01-02 19:00:00,siauliu-ams,2.8,0.4,2.4,5.9,212,100,998.6,97,0.0,light-rain
2022-01-02 20:00:00,siauliu-ams,2.7,2.7,1.4,4.5,188,100,997.8,98,0.1,rain
2022-01-02 21:00:00,siauliu-ams,2.5,2.5,1.1,2.3,154,100,996.7,98,1.2,light-rain
2022-01-02 22:00:00,siauliu-ams,2.6,2.6,0.9,2.1,178,100,995.7,98,1.5,light-rain
2022-01-02 23:00:00,siauliu-ams,2.8,2.8,1.2,2.6,178,100,994.5,98,1.7,light-rain
2022-01-03 00:00:00,siauliu-ams,2.5,2.5,0.8,2.1,180,100,993.8,98,1.7,light-rain
2022-01-03 01:00:00,siauliu-ams,2.5,2.5,1.2,1.9,5,,993.8,98,1.9,rain
2022-01-03 02:00:00,siauliu-ams,2.5,2.5,1.0,1.5,311,100,993.6,98,1.4,light-rain
2022-01-03 03:00:00,siauliu-ams,3.2,0.9,2.4,4.8,301,100,993.6,98,0.3,light-rain
2022-01-03 04:00:00,siauliu-ams,3.1,0.7,2.4,4.6,300,100,993.8,98,0.2,light-rain
2022-01-03 05:00:00,siauliu-ams,2.8,0.6,2.2,5.4,283,100,994.2,98,0.2,light-rain
2022-01-03 06:00:00,siauliu-ams,3.0,0.7,2.3,5.2,292,100,994.5,98,0.1,light-rain
2022-01-03 07:00:00,siauliu-ams,3.2,1.3,2.0,4.4,283,100,995.0,99,0.0,fog
2022-01-03 08:00:00,siauliu-ams,3.7,1.7,2.1,4.5,278,100,995.6,99,0.0,fog
2022-01-03 09:00:00,siauliu-ams,4.2,2.0,2.4,4.8,270,100,995.9,99,0.0,light-rain
2022-01-03 10:00:00,siauliu-ams,4.4,2.4,2.3,4.7,259,100,996.1,99,0.0,mist
2022-01-03 11:00:00,siauliu-ams,4.4,1.9,2.8,5.7,259,100,996.2,99,0.0,light-rain
2022-01-03 12:00:00,siauliu-ams,4.3,2.2,2.3,5.3,258,100,996.2,98,0.0,light-rain
2022-01-03 13:00:00,siauliu-ams,4.6,2.6,2.3,6.2,260,100,996.3,98,0.0,light-rain
2022-01-03 14:00:00,siauliu-ams,4.5,2.2,2.6,7.5,267,88,996.7,95,0.0,cloudy
2022-01-03 15:00:00,siauliu-ams,4.2,3.0,1.5,4.7,243,100,996.9,95,0.0,mist
2022-01-03 16:00:00,siauliu-ams,4.0,2.3,1.9,4.5,241,100,996.9,96,0.0,rain
2022-01-03 17:00:00,siauliu-ams,4.2,1.7,2.8,6.4,251,100,997.0,97,0.0,mist
2022-01-03 18:00:00,siauliu-ams,4.1,1.8,2.5,5.9,229,100,996.8,96,0.2,rain
2022-01-03 19:00:00,siauliu-ams,4.2,1.9,2.6,5.3,236,88,996.7,95,0.0,cloudy
2022-01-03 20:00:00,siauliu-ams,4.2,1.9,2.6,5.8,233,100,996.5,96,0.0,cloudy
2022-01-03 21:00:00,siauliu-ams,4.0,1.7,2.5,7.8,234,100,996.4,96,0.0,cloudy
2022-01-03 22:00:00,siauliu-ams,4.2,1.9,2.6,6.4,235,100,996.4,96,0.0,mist
2022-01-03 23:00:00,siauliu-ams,4.3,1.9,2.7,5.7,228,100,996.2,97,0.0,cloudy
2022-01-04 00:00:00,siauliu-ams,4.5,1.8,3.2,6.7,230,100,995.9,95,0.0,cloudy
2022-01-04 01:00:00,siauliu-ams,4.5,1.5,3.5,6.1,226,100,995.6,96,0.0,light-rain
2022-01-04 02:00:00,siauliu-ams,4.6,2.2,2.7,6.0,233,100,995.4,96,0.0,light-rain
2022-01-04 03:00:00,siauliu-ams,4.6,1.8,3.3,6.6,229,100,995.2,95,0.0,light-rain
2022-01-04 04:00:00,siauliu-ams,4.5,1.5,3.5,6.7,229,100,995.0,94,0.0,light-rain
2022-01-04 05:00:00,siauliu-ams,4.5,1.6,3.4,8.1,223,100,994.8,94,0.0,light-rain
2022-01-04 06:00:00,siauliu-ams,4.6,1.0,4.6,8.5,230,100,994.6,92,0.0,light-rain
2022-01-04 07:00:00,siauliu-ams,4.6,1.7,3.5,8.0,221,100,995.0,92,0.0,cloudy
2022-01-04 08:00:00,siauliu-ams,4.7,1.3,4.4,8.0,215,100,994.7,90,0.0,light-rain
2022-01-04 09:00:00,siauliu-ams,4.6,1.6,3.6,8.2,217,100,994.4,91,0.0,light-rain
2022-01-04 10:00:00,siauliu-ams,4.6,1.3,4.1,9.6,215,100,994.3,91,0.0,light-rain
2022-01-04 11:00:00,siauliu-ams,4.8,1.8,3.7,9.5,209,100,994.0,91,0.1,heavy-rain
2022-01-04 12:00:00,siauliu-ams,4.6,1.5,3.8,8.3,208,100,993.4,93,0.3,light-rain
2022-01-04 13:00:00,siauliu-ams,4.6,1.7,3.5,9.7,211,100,993.1,92,0.0,cloudy
2022-01-04 14:00:00,siauliu-ams,4.6,1.7,3.5,7.3,204,88,993.0,91,0.0,light-rain
2022-01-04 15:00:00,siauliu-ams,4.3,1.6,3.1,6.5,200,100,992.4,93,0.0,heavy-rain
2022-01-04 16:00:00,siauliu-ams,4.1,1.9,2.4,6.7,192,100,992.1,93,0.0,mist
2022-01-04 17:00:00,siauliu-ams,4.1,0.8,3.9,7.3,204,100,991.6,92,0.0,mist
2022-01-04 18:00:00,siauliu-ams,3.9,1.0,3.2,7.6,205,100,991.0,92,0.0,mist
2022-01-04 19:00:00,siauliu-ams,3.8,1.0,3.1,7.3,197,100,990.7,92,0.0,cloudy
2022-01-04 20:00:00,siauliu-ams,3.6,0.8,3.0,6.2,208,100,990.3,94,0.0,cloudy
2022-01-04 21:00:00,siauliu-ams,3.5,0.9,2.7,6.1,204,100,989.9,94,0.0,cloudy
2022-01-04 22:00:00,siauliu-ams,3.5,1.1,2.5,5.8,200,100,989.3,94,0.0,cloudy
