obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,silutes-ams,3.4,-0.6,4.8,7.1,251,,1006.6,99,0.0,fog
2022-01-01 01:00:00,silutes-ams,4.4,0.1,6.1,9.8,267,100,1007.2,99,0.0,fog
2022-01-01 02:00:00,silutes-ams,4.4,0.3,5.5,9.9,272,100,1007.4,99,0.0,fog
2022-01-01 03:00:00,silutes-ams,4.7,1.1,4.8,9.2,274,100,1007.8,99,0.0,mist
2022-01-01 04:00:00,silutes-ams,5.1,5.1,6.2,10.3,266,100,1007.8,99,0.0,cloudy
2022-01-01 05:00:00,silutes-ams,4.5,0.5,5.5,10.1,264,100,1008.2,99,0.0,cloudy
2022-01-01 06:00:00,silutes-ams,5.2,5.2,6.8,10.9,284,100,1008.9,99,0.0,cloudy
2022-01-01 07:00:00,silutes-ams,5.4,5.4,6.6,11.1,302,100,1009.8,95,0.0,cloudy
2022-01-01 08:00:00,silutes-ams,5.1,5.1,6.1,10.3,304,88,1010.8,94,0.0,cloudy
2022-01-01 09:00:00,silutes-ams,4.6,-0.6,8.8,13.6,324,88,1012.2,94,0.0,light-rain
2022-01-01 10:00:00,silutes-ams,4.3,-0.4,6.9,11.1,329,88,1013.3,91,0.0,cloudy
2022-01-01 11:00:00,silutes-ams,3.8,-0.9,6.7,11.8,342,88,1014.7,87,0.0,cloudy
2022-01-01 12:00:00,silutes-ams,3.6,-0.6,5.3,11.8,343,88,1016.2,86,0.0,cloudy
2022-01-01 13:00:00,silutes-ams,3.4,-1.0,5.6,10.9,348,88,1017.6,83,0.0,cloudy
2022-01-01 14:00:00,silutes-ams,2.6,-1.9,5.5,9.9,349,88,1018.7,87,0.0,cloudy
2022-01-01 15:00:00,silutes-ams,1.2,-2.7,3.9,6.5,342,13,1020.0,90,0.0,partly-cloudy
2022-01-01 16:00:00,silutes-ams,0.1,-3.9,3.7,6.0,333,0,1021.0,92,0.0,clear
2022-01-01 17:00:00,silutes-ams,-0.7,-4.7,3.4,5.5,344,38,1021.6,93,0.0,variable-cloudiness
2022-01-01 18:00:00,silutes-ams,0.3,-2.8,2.6,6.0,357,100,1022.7,85,0.0,cloudy
2022-01-01 19:00:00,silutes-ams,0.1,-1.8,1.6,5.6,12,88,1023.2,84,0.0,cloudy
2022-01-01 20:00:00,silutes-ams,0.2,-1.8,1.7,4.1,67,100,1023.8,81,0.0,cloudy
2022-01-01 21:00:00,silutes-ams,-0.2,-2.0,1.5,4.3,136,75,1024.0,83,0.0,cloudy-with-sunny-intervals
2022-01-01 22:00:00,silutes-ams,-1.3,-4.0,2.0,2.4,203,88,1023.8,90,0.0,cloudy
2022-01-01 23:00:00,silutes-ams,-0.3,-3.8,2.9,4.2,179,100,1023.6,87,0.0,cloudy
2022-01-02 00:00:00,silutes-ams,0.0,-3.3,2.8,6.0,162,100,1023.1,84,0.0,cloudy
2022-01-02 01:00:00,silutes-ams,-0.3,-3.9,3.0,4.6,148,100,1021.7,90,0.0,cloudy
2022-01-02 02:00:00,silutes-ams,-0.2,-4.6,4.1,6.6,138,88,1020.5,89,0.0,cloudy
2022-01-02 03:00:00,silutes-ams,0.0,-4.2,3.9,7.1,144,88,1020.1,88,0.0,cloudy
2022-01-02 04:00:00,silutes-ams,0.3,-4.8,5.5,8.1,146,88,1018.2,86,0.0,light-rain
2022-01-02 05:00:00,silutes-ams,0.3,-4.9,5.6,10.3,141,100,1016.3,90,0.2,light-rain
2022-01-02 06:00:00,silutes-ams,0.3,-4.8,5.4,10.0,140,88,1014.5,96,0.7,light-rain
2022-01-02 07:00:00,silutes-ams,0.6,-4.8,6.3,10.3,154,100,1013.0,97,2.6,light-rain
2022-01-02 08:00:00,silutes-ams,0.9,-4.0,5.4,10.6,148,88,1011.6,97,1.0,light-rain
2022-01-02 09:00:00,silutes-ams,1.5,-2.6,4.3,8.0,152,100,1010.4,98,0.0,light-rain
2022-01-02 10:00:00,silutes-ams,2.5,-1.3,4.1,7.7,157,100,1008.9,99,0.4,light-rain
2022-01-02 11:00:00,silutes-ams,4.3,2.2,2.4,5.6,159,100,1007.4,99,0.1,light-rain
2022-01-02 12:00:00,silutes-ams,5.5,5.5,5.3,8.9,210,100,1006.2,98,0.2,light-rain
2022-01-02 13:00:00,silutes-ams,5.4,5.4,4.3,8.8,198,100,1005.1,99,0.3,rain
2022-01-02 14:00:00,silutes-ams,5.6,5.6,4.3,6.8,211,100,1004.3,99,0.8,light-rain
2022-01-02 15:00:00,silutes-ams,5.9,5.9,4.9,7.2,216,100,1003.1,99,2.2,light-rain
2022-01-02 16:00:00,silutes-ams,6.2,6.2,5.8,8.3,224,100,1002.3,99,1.2,light-rain
2022-01-02 17:00:00,silutes-ams,6.0,6.0,5.6,7.8,223,100,1001.0,99,0.9,light-rain
2022-01-02 18:00:00,silutes-ams,5.7,5.7,4.0,7.9,236,,1000.2,99,0.1,light-rain
2022-01-02 19:00:00,silutes-ams,6.0,6.0,5.4,7.6,224,88,999.0,99,1.8,rain
2022-01-02 20:00:00,silutes-ams,5.8,5.8,3.0,6.5,211,,997.9,99,0.4,light-rain
2022-01-02 21:00:00,silutes-ams,6.1,6.1,3.2,6.1,208,,996.4,99,1.4,light-rain
2022-01-02 22:00:00,silutes-ams,6.1,6.1,1.7,5.1,121,100,995.1,99,1.5,light-rain
