obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,ukmerges-ams,2.8,0.5,2.3,5.0,248,,1004.8,99,0.0,light-rain
2022-01-01 01:00:00,ukmerges-ams,2.5,-0.2,2.6,5.0,255,100,1005.3,99,0.0,fog
2022-01-01 02:00:00,ukmerges-ams,2.5,0.1,2.3,4.5,239,100,1005.5,99,0.0,fog
2022-01-01 03:00:00,ukmerges-ams,2.8,0.1,2.7,4.8,233,100,1005.6,99,0.0,light-rain
2022-01-01 04:00:00,ukmerges-ams,3.2,0.0,3.4,6.1,258,100,1006.0,99,0.0,light-rain
2022-01-01 05:00:00,ukmerges-ams,3.5,0.6,3.1,5.7,258,100,1006.0,99,0.0,light-rain
2022-01-01 06:00:00,ukmerges-ams,3.7,0.4,3.7,6.8,262,100,1006.1,99,0.0,light-rain
2022-01-01 07:00:00,ukmerges-ams,3.6,0.1,4.0,7.7,268,88,1006.7,99,0.0,light-rain
2022-01-01 08:00:00,ukmerges-ams,3.9,0.5,4.0,8.0,259,88,1007.2,99,0.0,light-rain
2022-01-01 09:00:00,ukmerges-ams,3.8,-0.3,5.2,7.9,283,100,1008.0,99,0.1,light-rain
2022-01-01 10:00:00,ukmerges-ams,3.7,-0.8,6.2,9.1,303,88,1008.9,98,0.3,light-rain
2022-01-01 11:00:00,ukmerges-ams,3.4,-2.2,9.0,13.2,327,100,1009.9,92,0.0,light-rain
2022-01-01 12:00:00,ukmerges-ams,2.4,-3.1,7.8,16.1,337,100,1011.5,87,0.0,cloudy
2022-01-01 13:00:00,ukmerges-ams,1.6,-3.6,6.4,13.5,341,100,1013.7,88,0.0,cloudy
2022-01-01 14:00:00,ukmerges-ams,1.0,-4.9,7.7,13.8,346,88,1015.3,81,0.0,cloudy
2022-01-01 15:00:00,ukmerges-ams,0.6,-4.1,4.9,9.9,332,88,1016.8,92,0.0,light-snow
2022-01-01 16:00:00,ukmerges-ams,0.8,-4.6,6.4,10.0,329,88,1018.2,85,0.0,light-sleet
2022-01-01 17:00:00,ukmerges-ams,0.2,-4.9,5.4,9.0,331,25,1019.3,85,0.0,partly-cloudy
2022-01-01 18:00:00,ukmerges-ams,-0.2,-4.9,4.5,8.2,351,88,1020.5,87,0.0,cloudy
2022-01-01 19:00:00,ukmerges-ams,-0.8,-5.9,5.0,8.3,359,88,1021.3,83,0.0,cloudy
2022-01-01 20:00:00,ukmerges-ams,-1.7,-7.0,5.0,8.2,354,13,1022.6,82,0.0,partly-cloudy
2022-01-01 21:00:00,ukmerges-ams,-2.3,-6.8,3.6,7.8,336,38,1023.5,84,0.0,variable-cloudiness
2022-01-01 22:00:00,ukmerges-ams,-2.9,-6.9,2.9,4.5,333,0,1023.8,89,0.0,clear
2022-01-01 23:00:00,ukmerges-ams,-3.8,-6.3,1.6,3.1,20,0,1023.9,93,0.0,clear
2022-01-02 00:00:00,ukmerges-ams,-4.8,-4.8,0.8,2.4,132,50,1023.7,95,0.0,variable-cloudiness
2022-01-02 01:00:00,ukmerges-ams,-5.1,-5.1,1.3,1.9,169,63,1023.5,96,0.0,mist
2022-01-02 02:00:00,ukmerges-ams,-5.2,-5.2,1.3,2.0,186,25,1023.2,96,0.0,mist
2022-01-02 03:00:00,ukmerges-ams,-4.8,-7.2,1.5,2.2,152,88,1022.9,96,0.0,mist
2022-01-02 04:00:00,ukmerges-ams,-4.3,-6.7,1.5,2.8,182,88,1022.2,95,0.0,cloudy
2022-01-02 05:00:00,ukmerges-ams,-3.5,-6.9,2.3,4.2,160,88,1020.6,92,0.0,cloudy
2022-01-02 06:00:00,ukmerges-ams,-3.0,-6.1,2.1,5.0,166,100,1020.1,91,0.0,cloudy
2022-01-02 07:00:00,ukmerges-ams,-2.7,-6.8,3.1,6.6,159,100,1018.2,84,0.0,cloudy
2022-01-02 08:00:00,ukmerges-ams,-2.4,-7.4,4.2,8.4,168,88,1017.2,84,0.1,light-snow
2022-01-02 09:00:00,ukmerges-ams,-1.9,-6.5,3.9,8.5,163,88,1015.1,86,0.0,light-snow
2022-01-02 10:00:00,ukmerges-ams,-1.4,-7.0,5.6,11.4,166,100,1013.1,88,0.4,snow-showers
2022-01-02 11:00:00,ukmerges-ams,-0.8,-5.7,4.7,11.8,173,100,1011.6,93,1.8,light-snow
2022-01-02 12:00:00,ukmerges-ams,-0.2,-4.0,3.3,8.7,172,100,1009.8,95,0.6,light-snow
2022-01-02 13:00:00,ukmerges-ams,0.3,-3.8,3.8,8.0,182,100,1008.5,95,0.4,light-rain
2022-01-02 14:00:00,ukmerges-ams,0.5,-3.5,3.7,10.1,176,100,1006.9,96,0.3,light-rain
2022-01-02 15:00:00,ukmerges-ams,0.8,-3.1,3.7,7.6,180,88,1005.5,96,0.2,light-rain
2022-01-02 16:00:00,ukmerges-ams,1.0,-3.3,4.3,8.5,186,100,1004.3,96,0.0,light-rain
2022-01-02 17:00:00,ukmerges-ams,1.1,-2.9,4.0,9.0,185,88,1003.1,97,0.2,light-rain
2022-01-02 18:00:00,ukmerges-ams,1.2,-2.5,3.5,10.0,178,88,1001.9,97,1.5,light-sleet
2022-01-02 19:00:00,ukmerges-ams,1.4,-2.4,3.8,7.4,179,100,1000.6,98,1.3,light-sleet
2022-01-02 20:00:00,ukmerges-ams,1.6,-2.0,3.5,7.8,181,100,999.2,98,1.2,light-rain
2022-01-02 21:00:00,ukmerges-ams,1.7,-0.9,2.4,5.3,176,100,998.3,99,1.2,light-rain
2022-01-02 22:00:00,ukmerges-ams,1.8,-0.4,2.0,5.3,178,100,997.2,99,1.9,rain
2022-01-02 23:00:00,ukmerges-ams,2.1,0.1,1.9,4.5,164,100,996.0,99,0.9,light-rain
2022-01-03 00:00:00,ukmerges-ams,2.2,0.1,2.0,3.6,159,100,994.8,99,0.5,light-rain
2022-01-03 01:00:00,ukmerges-ams,2.2,2.2,1.2,3.1,152,100,993.9,99,1.2,light-rain
2022-01-03 02:00:00,ukmerges-ams,2.1,2.1,1.1,1.9,126,100,993.0,99,1.6,light-rain
2022-01-03 03:00:00,ukmerges-ams,1.5,1.5,1.4,1.8,35,,992.6,99,1.7,rain
2022-01-03 04:00:00,ukmerges-ams,1.0,-0.6,1.5,2.1,295,100,992.8,99,0.5,light-rain
2022-01-03 05:00:00,ukmerges-ams,2.1,-0.9,2.9,4.2,275,100,993.3,99,0.3,rain
2022-01-03 06:00:00,ukmerges-ams,2.2,-1.0,3.2,6.0,295,100,993.8,99,0.0,fog
2022-01-03 07:00:00,ukmerges-ams,2.2,-0.3,2.4,5.3,271,100,994.9,99,0.0,fog
2022-01-03 08:00:00,ukmerges-ams,2.4,-0.1,2.4,3.9,254,100,995.3,99,0.0,light-rain
2022-01-03 09:00:00,ukmerges-ams,2.5,1.1,1.5,4.7,244,100,996.1,99,0.0,fog
2022-01-03 10:00:00,ukmerges-ams,3.0,1.0,2.0,3.3,252,,996.1,99,0.3,light-rain
2022-01-03 11:00:00,ukmerges-ams,3.6,0.6,3.3,5.7,266,100,996.4,99,0.0,light-rain
2022-01-03 12:00:00,ukmerges-ams,4.0,1.1,3.3,6.3,263,100,996.3,99,0.2,rain
2022-01-03 13:00:00,ukmerges-ams,4.0,1.1,3.2,5.7,259,100,996.8,99,0.0,mist
2022-01-03 14:00:00,ukmerges-ams,3.9,1.6,2.5,5.2,257,88,997.1,99,0.3,rain
2022-01-03 15:00:00,ukmerges-ams,4.0,1.3,3.0,5.6,249,100,997.5,99,0.2,light-rain
2022-01-03 16:00:00,ukmerges-ams,4.0,1.0,3.4,5.9,261,88,997.7,99,0.3,rain
2022-01-03 17:00:00,ukmerges-ams,3.8,0.5,3.8,6.8,255,88,997.9,99,0.0,light-rain
