obs_time_utc,station_code,air_temperature,feels_like_temperature,wind_speed,wind_gust,wind_direction,cloud_cover,sea_level_pressure,relative_humidity,precipitation,condition_code
2022-01-01 00:00:00,varenos-ams,4.6,1.7,3.5,7.2,257,100,1005.7,99,0.0,light-rain
2022-01-01 01:00:00,varenos-ams,4.5,2.7,2.1,6.1,256,100,1006.2,99,0.0,mist
2022-01-01 02:00:00,varenos-ams,5.0,2.9,2.5,5.3,264,100,1006.4,99,0.0,light-rain
2022-01-01 03:00:00,varenos-ams,5.4,5.4,3.9,6.8,267,100,1006.8,99,0.0,mist
2022-01-01 04:00:00,varenos-ams,5.1,5.1,4.0,8.3,278,100,1007.4,99,0.1,light-rain
2022-01-01 05:00:00,varenos-ams,4.7,1.5,3.9,7.5,267,88,1007.9,98,0.1,light-rain
2022-01-01 06:00:00,varenos-ams,4.5,1.3,3.9,7.9,266,100,1008.1,97,0.0,light-rain
2022-01-01 07:00:00,varenos-ams,4.4,1.7,3.1,7.5,258,100,1008.6,97,0.2,light-rain
2022-01-01 08:00:00,varenos-ams,4.5,1.3,3.9,6.9,263,88,1009.2,98,0.3,light-rain
2022-01-01 09:00:00,varenos-ams,4.7,1.1,4.8,9.3,267,88,1009.5,96,0.3,light-rain
2022-01-01 10:00:00,varenos-ams,4.8,1.3,4.6,9.1,272,100,1009.9,95,0.0,light-rain
2022-01-01 11:00:00,varenos-ams,4.9,1.3,4.7,9.3,274,88,1010.3,91,0.0,light-rain
2022-01-01 12:00:00,varenos-ams,4.6,1.0,4.7,10.6,288,100,1011.1,93,0.0,light-rain
2022-01-01 13:00:00,varenos-ams,3.7,-0.5,5.5,13.8,300,88,1012.9,91,0.1,light-rain
2022-01-01 14:00:00,varenos-ams,2.9,-1.0,4.4,12.5,324,88,1014.9,86,0.0,rain
2022-01-01 15:00:00,varenos-ams,1.9,-2.0,4.1,11.1,320,88,1016.8,84,0.0,cloudy
2022-01-01 16:00:00,varenos-ams,1.1,-2.8,3.8,10.4,331,100,1018.2,89,0.0,light-rain
2022-01-01 17:00:00,varenos-ams,1.1,-2.8,3.8,7.8,314,100,1019.2,84,0.0,snow
2022-01-01 18:00:00,varenos-ams,0.8,-3.4,4.2,11.3,319,88,1020.3,79,0.0,cloudy
2022-01-01 19:00:00,varenos-ams,0.2,-3.3,3.0,7.8,306,88,1021.2,78,0.0,cloudy
2022-01-01 20:00:00,varenos-ams,-0.7,-4.2,2.8,8.4,317,13,1022.3,81,0.0,partly-cloudy
2022-01-01 21:00:00,varenos-ams,-1.1,-4.3,2.5,7.0,320,75,1023.5,84,0.0,cloudy-with-sunny-intervals
2022-01-01 22:00:00,varenos-ams,-1.8,-4.7,2.1,7.8,301,88,1023.8,84,0.0,cloudy
2022-01-01 23:00:00,varenos-ams,-2.4,-2.4,1.2,3.6,319,88,1024.2,86,0.0,cloudy
2022-01-02 00:00:00,varenos-ams,-3.3,-3.3,0.9,2.5,292,75,1024.1,92,0.0,cloudy-with-sunny-intervals
2022-01-02 01:00:00,varenos-ams,-4.5,-4.5,1.0,1.3,212,0,1023.9,97,0.0,clear
2022-01-02 02:00:00,varenos-ams,-5.2,-5.2,0.8,1.7,138,0,1024.0,96,0.0,clear
2022-01-02 03:00:00,varenos-ams,-4.9,-4.9,1.2,1.5,95,88,1023.5,96,0.0,cloudy
2022-01-02 04:00:00,varenos-ams,-4.2,-4.2,1.0,1.8,58,88,1022.9,96,0.0,cloudy
2022-01-02 05:00:00,varenos-ams,-3.8,-6.4,1.7,2.4,133,88,1021.8,96,0.0,cloudy
2022-01-02 06:00:00,varenos-ams,-2.8,-6.6,2.7,4.8,150,88,1021.0,90,0.0,cloudy
2022-01-02 07:00:00,varenos-ams,-2.4,-6.7,3.3,6.3,155,100,1019.9,90,0.0,cloudy
2022-01-02 08:00:00,varenos-ams,-1.9,-6.1,3.3,6.3,146,88,1018.7,90,0.0,cloudy
2022-01-02 09:00:00,varenos-ams,-1.2,-5.6,3.8,7.9,147,88,1017.2,90,0.0,light-snow
2022-01-02 10:00:00,varenos-ams,-0.7,-5.3,4.2,7.6,150,88,1015.4,92,0.7,light-sleet
2022-01-02 11:00:00,varenos-ams,-0.1,-4.9,4.8,8.8,166,100,1013.9,96,1.9,light-rain
2022-01-02 12:00:00,varenos-ams,0.1,-4.5,4.5,9.1,166,100,1012.0,96,2.1,light-rain
2022-01-02 13:00:00,varenos-ams,0.4,-4.0,4.3,8.1,166,100,1010.6,96,1.6,light-rain
2022-01-02 14:00:00,varenos-ams,0.5,-3.9,4.4,8.4,167,100,1008.9,97,1.1,light-rain
2022-01-02 15:00:00,varenos-ams,0.6,-2.8,3.0,8.2,173,100,1007.7,97,0.3,light-rain
2022-01-02 16:00:00,varenos-ams,0.7,-3.2,3.7,6.4,176,100,1006.2,98,1.1,light-rain
2022-01-02 17:00:00,varenos-ams,0.9,-2.2,2.8,5.9,166,100,1005.0,98,0.3,light-rain
2022-01-02 18:00:00,varenos-ams,1.0,-1.6,2.3,4.6,165,100,1003.7,98,0.2,light-rain
2022-01-02 19:00:00,varenos-ams,1.2,-0.8,1.8,3.8,169,100,1002.3,99,0.3,light-rain
2022-01-02 20:00:00,varenos-ams,1.5,-0.2,1.6,3.0,163,100,1000.7,99,0.3,light-rain
2022-01-02 21:00:00,varenos-ams,1.5,1.5,1.1,2.2,166,100,1000.0,99,0.3,light-rain
2022-01-02 22:00:00,varenos-ams,1.3,1.3,1.3,2.0,191,100,998.7,99,0.3,light-rain
2022-01-02 23:00:00,varenos-ams,2.4,2.4,1.1,2.7,187,100,997.2,99,1.6,rain
2022-01-03 00:00:00,varenos-ams,5.0,3.0,2.4,4.8,213,100,995.8,99,0.1,light-rain
2022-01-03 01:00:00,varenos-ams,6.7,6.7,3.4,6.3,221,88,994.9,99,0.1,light-rain
2022-01-03 02:00:00,varenos-ams,7.5,7.5,3.7,7.5,222,88,994.0,98,0.3,heavy-rain
2022-01-03 03:00:00,varenos-ams,7.6,7.6,3.9,8.4,230,88,993.3,95,0.1,rain
2022-01-03 04:00:00,varenos-ams,7.2,7.2,5.8,10.8,264,88,993.6,93,0.5,light-rain
2022-01-03 05:00:00,varenos-ams,6.3,6.3,4.7,9.8,272,88,994.1,95,0.8,light-rain
2022-01-03 06:00:00,varenos-ams,5.8,5.8,4.9,9.6,276,100,994.4,95,0.4,light-rain
2022-01-03 07:00:00,varenos-ams,5.4,5.4,3.6,9.2,277,100,995.5,97,0.0,light-rain
2022-01-03 08:00:00,varenos-ams,5.4,5.4,4.2,8.4,268,100,996.1,97,0.1,rain
2022-01-03 09:00:00,varenos-ams,5.7,5.7,5.4,10.2,273,100,996.8,96,0.0,rain
2022-01-03 10:00:00,varenos-ams,5.6,5.6,4.1,10.0,274,100,997.2,96,0.4,light-rain
2022-01-03 11:00:00,varenos-ams,5.5,5.5,5.0,9.9,279,100,997.7,97,0.0,light-rain
2022-01-03 12:00:00,varenos-ams,5.5,5.5,4.0,8.0,265,100,998.0,96,0.0,cloudy
2022-01-03 13:00:00,varenos-ams,5.4,5.4,3.4,7.1,279,100,998.3,97,0.2,light-rain
2022-01-03 14:00:00,varenos-ams,5.3,5.3,2.1,5.9,266,100,998.5,98,0.1,light-rain
2022-01-03 15:00:00,varenos-ams,5.6,5.6,3.3,6.1,267,88,999.0,97,0.2,light-rain
2022-01-03 16:00:00,varenos-ams,5.4,5.4,2.6,6.3,263,100,999.3,95,0.1,light-rain
2022-01-03 17:00:00,varenos-ams,4.9,2.6,2.7,5.7,240,88,999.6,96,0.0,light-rain
2022-01-03 18:00:00,varenos-ams,4.6,3.0,1.9,5.9,227,100,999.7,98,0.3,light-rain
2022-01-03 19:00:00,varenos-ams,4.5,2.9,1.9,4.1,217,88,999.5,98,0.6,light-rain
2022-01-03 20:00:00,varenos-ams,4.6,2.7,2.2,4.6,229,88,999.4,98,0.1,rain
2022-01-03 21:00:00,varenos-ams,4.6,2.6,2.3,4.8,220,100,999.6,98,0.0,cloudy
2022-01-03 22:00:00,varenos-ams,4.7,3.1,1.9,4.9,230,100,999.4,98,0.2,rain
2022-01-03 23:00:00,varenos-ams,4.8,2.7,2.4,5.5,228,100,999.3,98,0.0,light-rain
2022-01-04 00:00:00,varenos-ams,5.0,2.6,2.8,5.4,235,100,999.3,98,0.3,light-rain
2022-01-04 01:00:00,varenos-ams,4.9,2.2,3.2,6.4,220,100,999.3,98,0.3,light-rain
2022-01-04 02:00:00,varenos-ams,4.9,2.5,2.9,6.6,231,88,999.2,96,0.0,cloudy
2022-01-04 03:00:00,varenos-ams,4.8,2.4,2.8,6.9,225,88,999.1,96,0.0,cloudy
2022-01-04 04:00:00,varenos-ams,4.7,2.2,2.9,6.5,222,88,999.0,96,0.0,cloudy
2022-01-04 05:00:00,varenos-ams,4.5,2.1,2.8,5.5,218,100,999.0,95,0.0,cloudy
2022-01-04 06:00:00,varenos-ams,4.5,2.3,2.5,5.8,219,100,999.0,95,0.0,cloudy
2022-01-04 07:00:00,varenos-ams,4.3,1.8,2.8,6.4,211,88,999.3,96,0.0,cloudy
2022-01-04 08:00:00,varenos-ams,4.4,2.1,2.6,6.9,199,88,999.2,95,0.0,cloudy
2022-01-04 09:00:00,varenos-ams,4.7,2.1,3.1,6.3,202,88,998.8,93,0.0,cloudy
