station_code,Regionas,latitude,longitude
birzu-ams,Biržų,56.193191,24.774184
dotnuvos-ams,Kėdainių,55.395993,23.866224
duksto-ams,Ignalinos,55.517856,26.31614
kauno-ams,Kauno,54.88396,23.83588
klaipedos-ams,Klaipėdos,55.73135,21.09157
kybartu-ams,Vilkaviškio,54.633167,22.783011
laukuvos-ams,Šilalės,55.60886,22.239463
lazdiju-ams,Lazdijų,54.23221,23.51068
nidos-ams,Neringos,55.30221,21.00736
panevezio-ams,Panevėžio,55.735154,24.417184
raseiniu-ams,Raseinių,55.394569,23.133073
siauliu-ams,Šiaulių,55.942222,23.331111
silutes-ams,Šilutės,55.352222,21.446944
telsiu-ams,Telšių,55.991245,22.256657
ukmerges-ams,Ukmergės,55.264145,24.760335
utenos-ams,Utenos,55.515321,25.589692
varenos-ams,Varėnos,54.248271,24.55176
vilniaus-ams,Vilniaus,54.625992,25.107064
